Accuracy,Adjacent Accuracy,Average deviance,Overshot Rate,Undershot Rate,Major Error Rate
0.09395973154362416,0.39149888143176736,15.331359475851059,0.407158836689038,0.2662192393736018,0.4697986577181208
0.015659955257270694,0.2975391498881432,14.307411104440689,0.2662192393736018,0.4854586129753915,0.4854586129753915
0.12527964205816555,0.5324384787472036,13.981396824121475,0.2505592841163311,0.39149888143176736,0.36017897091722595
0.08091706001348618,0.43695212407282535,11.713700950145721,0.19420094403236682,0.46931894807821983,0.38840188806473364
0.09710047201618341,0.4855023600809171,13.38318681716919,0.275118004045853,0.3722184760620364,0.35603506405933916
0.016183412002697236,0.5016857720836143,12.202211022377014,0.3398516520566419,0.38840188806473364,0.2589345920431558
0.048550236008091704,0.4207687120701281,12.655044496059418,0.3722184760620364,0.32366824005394473,0.3722184760620364
0.06473364801078894,0.3560350640593392,16.21267032623291,0.35603506405933916,0.32366824005394473,0.4531355360755226
0.048550236008091704,0.4045853000674309,14.899361252784729,0.32366824005394473,0.3722184760620364,0.38840188806473364
0.09710047201618341,0.30748482805124744,17.403972446918488,0.3398516520566419,0.3074848280512475,0.5340525960890088
0.06473364801078894,0.32366824005394473,19.75910222530365,0.3398516520566419,0.3398516520566419,0.4855023600809171
0.016183412002697236,0.16183412002697237,21.90854722261429,0.3722184760620364,0.35603506405933916,0.5987862440997977
0.11328388401888065,0.4045853000674309,18.113977789878845,0.3074848280512475,0.32366824005394473,0.4531355360755226
0.08091706001348618,0.275118004045853,17.274899899959564,0.29130141604855025,0.3722184760620364,0.550236008091706
