Accuracy,F1-Score,Precision,Recall
0.9322916666666666,0.9063199461992486,0.9222834760369366,0.8998219587841877
0.9199021464646465,0.8791623604470181,0.9036213435744149,0.8712220571077992
0.9068055555555555,0.7726228511846326,0.8068495968155037,0.775999565685174
0.9159722222222222,0.7994080132104956,0.8321069527461388,0.7941465262236492
0.8578472222222222,0.711324719404195,0.7429553062942222,0.7117985244232801
0.8747222222222222,0.7393658695305114,0.7948830086956614,0.727697165671001
0.8914583333333334,0.752858922647251,0.781195169940695,0.7562298320436233
0.87125,0.7326266082697119,0.769361417973217,0.7254471400376401
0.8406944444444444,0.6828153838515358,0.739639464861519,0.6838233668587688
0.9117361111111111,0.7985277585721777,0.8480027409510651,0.7918826877338093
